ISO,Queue ID,Project Name,State,County,Capacity (MW),Queue Date,Withdrawn Date,Generation Type,search_text,withdraw_year,Score,in_dc_state,matched_owner,is_dc_adjacent,ai_era_large,matched_dc,match_type,dc_epoch_year,years_before_dc
NYISO,1017,EI Steinway 2,NY,Queens,1300.0,2020-05-19 00:00:00+00:00,2024-09-30 00:00:00+00:00,Wind,Beacon Wind LLC EI Steinway 2,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1020,EI Fort Salonga,NY,Suffolk,1300.0,2020-05-21 00:00:00+00:00,2024-05-31 00:00:00+00:00,Wind,Beacon Wind LLC EI Fort Salonga,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1021,EI East Shoreham,NY,Suffolk,1300.0,2020-05-27 00:00:00+00:00,2024-05-31 00:00:00+00:00,Wind,Beacon Wind LLC EI East Shoreham,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1022,EI Glenwood Landing,NY,Nassau,1300.0,2020-05-27 00:00:00+00:00,2024-05-31 00:00:00+00:00,Wind,Beacon Wind LLC EI Glenwood Landing,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1093,Clean Path NY ,NY,Oneida,1300.0,2020-09-10 00:00:00+00:00,2021-08-30 00:00:00+00:00,DC Transmission,"Con Edison Transmission, Inc. Clean Path NY ",2021.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1167,CPNY,NY,Delaware Queens,1300.0,2021-05-11 00:00:00+00:00,2023-05-31 00:00:00+00:00,DC Transmission,Clean Path NY LLC CPNY,2023.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1168,CPNY-MH,NY,"Delaware, Bronx",1300.0,2021-05-11 00:00:00+00:00,2021-12-31 00:00:00+00:00,DC Transmission,Invenergy Transmission LLC CPNY-MH,2021.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,C24-261,EI Steinway 1,NY,Queens,1300.0,2024-09-23 00:00:00+00:00,2025-02-28 00:00:00+00:00,Wind,Beacon Wind LLC EI Steinway 1,2025.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1058,NY Wind - Pilgrim,NY,Suffolk,1276.0,2020-07-27 00:00:00+00:00,2024-05-31 00:00:00+00:00,Wind,Bay State Wind NY Wind - Pilgrim,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1056,NY Wind - Shore Road,NY,Nassau,1272.0,2020-07-27 00:00:00+00:00,2024-05-31 00:00:00+00:00,Wind,Bay State Wind NY Wind - Shore Road,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1066,NY Wind - Mott Haven,NY,Bronx,1272.0,2020-08-04 00:00:00+00:00,2024-05-31 00:00:00+00:00,Wind,Bay State Wind NY Wind - Mott Haven,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,0959,EI Oceanside 2,NY,Nassau,1260.0,2019-12-11 00:00:00+00:00,2024-04-30 00:00:00+00:00,Wind,Empire Offshore Wind LLC EI Oceanside 2,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
